method,variant,dataset,size,distribution,decode,seed,n,mean_objective,std_objective,avg_runtime_sec,total_runtime_sec,sources
CAADRL,no_dec_cluster,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Sampling-1280,10000,10000,3.5140780546426775,0.23393433489246235,0.0032780950408428907,32.78095040842891,results/raw/ablation/ablation_no_dec_cluster_pdp40_clustered_sampling_1280.csv
CAADRL,no_dec_cluster,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Greedy,10000,10000,4.85571615717411,0.2705598926506443,0.0034335811894387006,34.33581189438701,results/raw/ablation/ablation_no_dec_cluster_pdp80_clustered_greedy.csv
CAADRL,no_dec_cluster,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Sampling-1280,10000,10000,4.7393170540809635,0.2546003959085912,0.008417006517387927,84.17006517387927,results/raw/ablation/ablation_no_dec_cluster_pdp80_clustered_sampling_1280.csv
CAADRL,no_enc_cluster,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Greedy,10000,10000,2.751176879620552,0.21811153054000526,0.027174239751696586,271.74239751696587,results/raw/ablation/ablation_no_enc_cluster_pdp20_clustered_greedy.csv
CAADRL,no_enc_cluster,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Sampling-1280,10000,10000,2.7423327380895617,0.21546108410658737,0.002618343022465706,26.18343022465706,results/raw/ablation/ablation_no_enc_cluster_pdp20_clustered_sampling_1280.csv
CAADRL,no_enc_cluster,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Greedy,10000,10000,3.5598111072301863,0.24348746754753056,0.00346635982003063,34.663598200306296,results/raw/ablation/ablation_no_enc_cluster_pdp40_clustered_greedy.csv
CAADRL,no_enc_cluster,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Sampling-1280,10000,10000,3.516029578447342,0.23403112176466,0.005589157503284514,55.89157503284514,results/raw/ablation/ablation_no_enc_cluster_pdp40_clustered_sampling_1280.csv
CAADRL,no_enc_cluster,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Greedy,10000,10000,4.876261937427521,0.27174020482504574,0.0065613047242164615,65.61304724216461,results/raw/ablation/ablation_no_enc_cluster_pdp80_clustered_greedy.csv
CAADRL,no_enc_cluster,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Sampling-1280,10000,10000,4.7620483702182765,0.2572634443567902,0.01580006212387234,158.0006212387234,results/raw/ablation/ablation_no_enc_cluster_pdp80_clustered_sampling_1280.csv
CAADRL,no_pomo,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Greedy,10000,10000,4.634180633926392,0.49627438686072445,0.0019729754555970432,19.72975455597043,results/raw/ablation/ablation_no_pomo_pdp20_clustered_greedy.csv
CAADRL,no_pomo,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Sampling-1280,10000,10000,4.91893704752922,0.4947819003777544,0.002982442987896502,29.82442987896502,results/raw/ablation/ablation_no_pomo_pdp20_clustered_sampling_1280.csv
CAADRL,no_pomo,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Greedy,10000,10000,8.177206069660187,0.7014772372906264,0.0037028667375445367,37.028667375445366,results/raw/ablation/ablation_no_pomo_pdp40_clustered_greedy.csv
CAADRL,no_pomo,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Sampling-1280,10000,10000,11.144374545526505,0.7307248476180176,0.005874424583651125,58.744245836511254,results/raw/ablation/ablation_no_pomo_pdp40_clustered_sampling_1280.csv
CAADRL,no_pomo,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Greedy,10000,10000,15.2336758020401,0.9962729466691735,0.006700549629889429,67.00549629889429,results/raw/ablation/ablation_no_pomo_pdp80_clustered_greedy.csv
CAADRL,no_pomo,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Sampling-1280,10000,10000,24.610987941932677,1.101314451537909,0.01619441509284079,161.9441509284079,results/raw/ablation/ablation_no_pomo_pdp80_clustered_sampling_1280.csv
